"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          83,      -6.803123433,      -6.910703576,       -7.02554561,       -6.88123143,      -6.252760607
          0,           0,          84,      -6.831202013,      -6.937718168,      -7.049289457,      -6.901891757,      -6.281062275
          0,           0,          85,      -6.859761305,      -6.965738273,      -7.072354695,      -6.922536497,      -6.310117714
          0,           0,          86,      -6.888833075,      -6.994806213,       -7.09479978,      -6.943307275,      -6.339949917
          0,           0,          87,      -6.918408564,      -7.024870807,      -7.116710094,       -6.96433825,      -6.370522372
          0,           0,          88,      -6.948426894,      -7.055793207,      -7.138190014,      -6.985756767,      -6.401726853
          0,           0,          89,      -6.978780517,      -7.087348962,      -7.159360622,      -7.007677139,      -6.433390378
          0,           0,          90,      -7.009328422,      -7.119239036,       -7.18035259,      -7.030204118,      -6.465291318
          0,           0,          91,      -7.039897419,      -7.151105678,      -7.201302237,       -7.05343199,      -6.497164407
          0,           0,          92,       -7.07029871,      -7.182570138,      -7.222346949,      -7.077442367,      -6.528725762
          0,           0,          93,      -7.100340709,      -7.213266123,      -7.243623307,      -7.102298615,      -6.559696324
          0,           0,          94,      -7.129849046,      -7.242883427,      -7.265260677,      -7.128044796,      -6.589832267
          0,           0,          95,      -7.158687345,      -7.271200458,      -7.287382805,      -7.154702442,      -6.618954889
          0,           0,          96,      -7.186769141,      -7.298120162,      -7.310100023,      -7.182275564,      -6.646969774
          0,           0,          97,       -7.21406338,      -7.323680947,      -7.333509008,      -7.210747275,      -6.673876852
          0,           0,          98,      -7.240603644,      -7.348045984,       -7.35769058,      -7.240080159,      -6.699775221
          0,           0,          99,      -7.266473184,      -7.371475502,      -7.382701262,       -7.27021415,      -6.724833695
          0,           0,           0,      -6.916508101,      -6.917416146,      -6.908107402,      -6.994497092,      -6.317985126
          0,           0,           1,      -6.506143031,      -6.336606969,      -6.552012711,      -6.452564456,      -5.883976658
          0,           0,           2,      -6.465739427,      -6.318777382,      -6.362448865,      -6.260254325,      -5.852935887
          0,           0,           3,      -6.456745136,      -6.359947847,      -6.265374834,      -6.176085564,      -5.856442008
          0,           0,           4,      -6.431542013,      -6.372247542,      -6.218260102,      -6.120032914,      -5.836353802
          0,           0,           5,      -6.441920403,      -6.382532114,      -6.198663105,      -6.070266649,      -5.847984521
          0,           0,           6,      -6.490347672,      -6.409706201,      -6.190828121,      -6.033022397,      -5.897740779
          0,           0,           7,      -6.543257454,      -6.437268644,      -6.188474245,      -6.014481898,      -5.951521795
          0,           0,           8,      -6.575428378,      -6.453243973,      -6.189623341,      -6.013300051,      -5.983370229
          0,           0,           9,      -6.590192984,      -6.462048344,      -6.193009594,      -6.024981096,      -5.997510627
          0,           0,          10,       -6.59370184,      -6.464824649,      -6.198004174,      -6.045203983,      -5.999999608
          0,           0,          11,      -6.590008475,      -6.462159186,      -6.205091617,      -6.070285256,      -5.994929473
          0,           0,          12,      -6.588385904,      -6.461739737,       -6.21559641,      -6.096932375,      -5.992696545
          0,           0,          13,      -6.596657355,      -6.471577597,      -6.230957685,      -6.122769491,        -6.0018488
          0,           0,          14,      -6.615972506,      -6.493952699,       -6.25210467,      -6.146984132,      -6.023394399
          0,           0,          15,      -6.643256812,      -6.526650997,      -6.279203296,      -6.170067778,      -6.053742963
          0,           0,          16,       -6.67544198,      -6.566404656,      -6.311751407,      -6.192951512,       -6.08941572
          0,           0,          17,      -6.711452855,      -6.611001782,      -6.348861963,      -6.216403781,      -6.129260199
          0,           0,          18,      -6.751405799,        -6.6593397,      -6.389567428,      -6.240926778,      -6.173534402
          0,           0,          19,      -6.794824454,      -6.710401168,      -6.433024836,      -6.266880056,      -6.221833046
          0,           0,          20,      -6.839642191,       -6.76246202,      -6.478575345,      -6.294584408,       -6.27185088
          0,           0,          21,      -6.882506338,      -6.813057394,      -6.525692796,      -6.324335556,      -6.319602662
          0,           0,          22,      -6.920143414,      -6.859594499,      -6.573900615,      -6.356360252,      -6.360989754
          0,           0,          23,      -6.950981065,      -6.900273021,       -6.62272434,      -6.390771217,       -6.39392251
          0,           0,          24,      -6.975800496,      -6.934784648,      -6.671705311,      -6.427557565,      -6.419342188
          0,           0,          25,      -6.996951144,      -6.964312557,      -6.720462402,      -6.466613698,      -6.440264734
          0,           0,          26,       -7.01701571,      -6.990898158,      -6.768763796,      -6.507786635,      -6.460000021
          0,           0,          27,      -7.037959399,      -7.016699377,      -6.816565205,      -6.550919074,      -6.481033823
          0,           0,          28,      -7.060950958,      -7.043521437,      -6.863989944,      -6.595875649,      -6.504818685
          0,           0,          29,      -7.086528418,      -7.072634844,      -6.911277316,      -6.642553092,      -6.531996967
          0,           0,          30,      -7.114819844,      -7.104750679,      -6.958698105,      -6.690874244,      -6.562675019
          0,           0,          31,      -7.145717473,      -7.140068304,      -7.006497818,      -6.740773542,      -6.596633021
          0,           0,          32,      -7.179007739,      -7.178367938,      -7.054861068,      -6.792176678,      -6.633485179
          0,           0,          33,        -7.2144709,      -7.219135828,      -7.103897793,       -6.84498004,       -6.67281121
          0,           0,          34,      -7.251944661,      -7.261699771,      -7.153645487,      -6.899035941,      -6.714250722
          0,           0,          35,      -7.291336669,      -7.305344199,      -7.204083231,      -6.954148199,      -6.757535468
          0,           0,          36,       -7.33258533,      -7.349384588,      -7.255151352,      -7.010079825,      -6.802451073
          0,           0,          37,      -7.375580145,      -7.393189148,      -7.306771389,      -7.066571684,      -6.848737749
          0,           0,          38,      -7.420079857,      -7.436178967,      -7.358858685,      -7.123366853,      -6.895981206
          0,           0,          39,      -7.465664804,      -7.477837583,       -7.41132501,      -7.180234447,      -6.943552046
          0,           0,          40,      -7.511743023,      -7.517752761,       -7.46407424,        -7.2369862,      -6.990631275
          0,           0,          41,      -7.557617754,      -7.555681441,      -7.516997955,      -7.293483154,       -7.03633743
          0,           0,          42,      -7.602598594,      -7.591605683,      -7.569976438,      -7.349631713,      -7.079919734
          0,           0,          43,      -7.646124597,      -7.625745483,      -7.622886781,      -7.405373591,      -7.120945031
          0,           0,          44,      -7.687860209,      -7.658517319,      -7.675613366,      -7.460673389,      -7.159396914
          0,           0,          45,       -7.72773168,      -7.690454635,      -7.728058515,      -7.515507883,      -7.195643631
          0,           0,          46,      -7.765896414,      -7.722118768,      -7.780147264,      -7.569857684,      -7.230300617
          0,           0,          47,      -7.802661695,       -7.75402427,      -7.831826564,      -7.623700896,      -7.264054698
          0,           0,          48,      -7.838385845,      -7.786587959,      -7.883059764,      -7.677006902,      -7.297515371
